Orientation Sensor Raw Data Test

Current Temperature: 25 C

Calibration status values: 0=uncalibrated, 3=fully calibrated
accelerometer_x	accelerometer_y	accelerometer_z	magnetometer_x	magnetometer_y	magnetometer_z	euler_x	euler_y	euler_z	linearAcceleration_x	linearAcceleration_y	linearAcceleration_z	gravity_x	gravity_y	gravity_z	quaternion_w	quaternion_y	quaternion_x	quaternion_z	calibration_system	calibration_gyro	calibration_accel	calibration_mag
-7.53	-11.36	2.57	14.38	12.19	13.69	39.50	74.00	117.00	-16.96	-8.96	3.79	9.42	-2.40	-1.22	0.6647	-0.5660	-0.4548	-0.1763	3	0	0	3
-21.04	-8.73	0.56	15.19	6.50	15.56	47.94	78.12	-5.75	-31.11	-6.23	-0.14	9.59	0.20	2.00	0.6777	-0.6071	-0.1855	-0.3710	3	0	0	3
-4.67	38.05	-1.46	-5.75	18.25	11.06	111.00	17.25	-105.12	-7.58	29.02	0.98	2.91	9.03	-2.44	0.2953	-0.7972	0.2441	-0.4667	3	0	0	3
0.48	22.91	-11.21	-5.38	21.00	8.25	141.81	18.37	-119.87	-2.47	15.60	-7.20	3.25	8.03	-4.58	0.1539	-0.8399	-0.1449	-0.4999	3	0	0	3
7.26	-30.52	-38.91	17.56	9.75	13.69	118.31	62.19	-129.06	-1.41	-34.07	-36.02	8.67	3.54	-2.88	0.3821	-0.6369	-0.4464	-0.4991	3	0	0	3
-9.74	13.97	-2.50	4.25	9.25	20.25	124.81	26.25	-75.37	-14.08	5.46	-4.71	4.33	8.51	2.21	0.3650	-0.6121	0.0764	-0.6973	3	0	0	3
-10.60	24.94	16.06	-13.38	10.69	15.69	117.75	14.00	-72.31	-12.97	15.88	13.18	2.37	9.06	2.88	0.4480	-0.5602	0.1054	-0.6887	3	0	0	3
-7.12	-5.30	-10.09	-2.19	7.50	21.69	91.31	77.12	-22.31	-16.11	-7.97	-13.42	9.56	0.83	2.01	0.5479	-0.4599	-0.5024	-0.4858	3	0	0	3
-13.80	-18.43	-10.71	13.25	-9.00	16.75	22.37	35.25	112.00	-19.46	-11.01	-7.71	5.61	-7.34	-3.26	0.5289	-0.3961	-0.7458	-0.0850	3	0	0	3
-27.88	-29.30	-39.22	19.87	-10.00	4.88	322.44	22.81	138.31	-31.69	-23.30	-32.47	3.80	-6.00	-6.75	0.3528	-0.8190	-0.3962	0.2184	3	0	0	3
-19.27	27.30	-22.93	6.50	9.06	-20.06	284.69	60.50	-177.25	-26.13	25.86	-17.65	8.53	0.23	-4.81	0.4150	-0.6032	0.6144	0.2941	3	0	0	3
-20.74	15.35	-20.97	3.50	1.06	-21.00	273.88	53.94	174.56	-28.67	15.90	-15.23	7.92	-0.54	-5.74	0.2691	-0.7950	0.4992	0.2153	3	0	0	3
-33.86	-19.51	-39.22	-3.69	17.00	-13.00	32.19	11.00	-173.88	-35.74	-20.54	-29.65	1.88	1.02	-9.56	0.1331	-0.8503	-0.4952	-0.1187	2	0	0	3
-3.68	-10.63	1.70	21.75	7.06	1.56	76.56	33.81	-160.88	-9.14	-13.29	9.40	5.50	2.54	-7.70	0.1524	-0.7360	-0.5945	-0.2856	2	0	0	3
-6.29	-5.54	-10.88	21.75	4.56	-0.69	71.06	14.69	-169.75	-9.02	-6.25	-2.31	2.48	1.68	-9.33	0.0046	-0.8400	-0.5311	-0.1110	2	0	0	3
-15.38	3.33	-12.28	5.19	16.50	-13.00	16.50	-32.25	-178.81	-10.14	3.16	-3.99	-5.51	-0.16	-8.10	-0.3418	-0.9373	-0.0096	0.0673	2	0	0	3
-12.04	-8.65	-5.10	-16.00	13.25	-9.69	308.31	-29.37	150.38	-7.23	-4.43	2.31	-4.81	-4.21	-7.42	-0.3228	-0.7942	0.5032	0.1086	2	0	0	3
-5.31	-7.05	-7.07	-20.37	-5.75	-8.06	253.13	-2.25	152.31	-4.92	-2.50	1.60	-0.38	-4.54	-8.68	-0.1740	-0.5297	0.8206	0.1259	2	0	0	3
-0.69	-2.29	-9.46	-14.50	-15.25	-10.38	217.00	12.88	167.63	-2.62	-0.80	-0.08	2.19	-2.04	-9.33	-0.0436	-0.2859	0.9470	0.1395	3	0	0	3
1.39	1.20	-7.48	-5.50	-17.37	-14.25	207.50	18.37	-179.38	-1.53	0.69	2.11	3.10	0.14	-9.30	0.0473	-0.2330	0.9589	0.1551	3	0	0	3
2.31	0.05	-8.13	-4.38	-16.00	-15.06	208.81	17.37	-177.31	-0.48	-0.83	0.38	2.93	0.43	-9.34	0.0604	-0.2478	0.9580	0.1310	3	0	0	3
3.06	-0.16	-10.03	-5.88	-15.56	-15.06	208.44	13.75	-178.75	0.72	-0.36	-0.51	2.34	0.20	-9.52	0.0293	-0.2408	0.9633	0.1149	3	0	0	3
2.48	-0.35	-9.06	-6.19	-15.56	-14.69	206.00	14.00	178.56	1.54	0.02	0.25	2.34	-0.25	-9.51	0.0109	-0.2239	0.9673	0.1185	3	0	0	3
2.52	-0.79	-8.68	-5.06	-17.75	-13.50	201.56	14.63	175.94	-0.18	0.33	0.49	2.48	-0.66	-9.46	-0.0239	-0.1763	0.9749	0.1337	3	0	0	3
2.53	-0.45	-8.76	-4.00	-19.87	-12.00	196.94	11.56	173.94	0.56	0.55	0.78	1.97	-1.00	-9.55	-0.0319	-0.1411	0.9851	0.0931	3	0	0	3
2.09	-0.07	-11.18	-3.00	-19.19	-13.88	188.63	10.38	-178.31	0.95	0.36	-1.08	1.76	0.27	-9.64	0.0287	-0.0651	0.9932	0.0919	3	0	0	3
1.86	0.92	-9.95	-0.75	-17.75	-15.75	183.00	8.00	-168.13	0.49	-1.06	-0.45	1.37	1.98	-9.50	0.1178	-0.0174	0.9905	0.0690	3	0	0	3
1.46	3.16	-8.96	2.06	-13.50	-18.87	177.25	8.19	-155.94	0.06	-0.78	-0.10	1.39	3.95	-8.86	0.2202	0.0311	0.9719	0.0777	3	0	0	3
2.21	4.69	-8.10	2.75	-9.75	-20.75	172.50	5.75	-150.06	1.23	-0.17	0.34	0.99	4.85	-8.46	0.2497	0.0698	0.9631	0.0723	3	0	0	3
2.08	4.88	-8.29	4.56	-10.50	-20.37	167.50	8.00	-153.19	0.72	0.51	0.37	1.36	4.37	-8.66	0.2194	0.1127	0.9646	0.0934	3	0	0	3
1.58	4.88	-8.88	7.06	-10.19	-20.37	166.06	8.63	-150.81	0.10	0.16	-0.42	1.47	4.72	-8.46	0.2426	0.1149	0.9573	0.1072	3	0	0	3
